Site;Farend
CAS152;FO
CAS153;FO
CAS156;FO
CAS157;FO
CAS158;FO
CAS159;FO
CAS163;FO
CAS164;FO
CAS167;FO
CAS169;FO
CAS170;FO
CAS175;FO
CAS176;FO
CAS177;FO
CAS180;FO
CAS183;FO
CAS186;FO
CAS187;FO
CAS189;FO
CAS193;FO
CAS194;FO
CAS196;FO
CAS197;FO
CAS198;FO
CAS199;FO
CAS201;FO
CAS208;FO
CAS209;FO
CAS210;FO
CAS211;FO
CAS216;FO
CAS222;FO
CAS224;FO
CAS226;FO
CAS229;FO
CAS235;FO
CAS244;FO
CAS245;FO
CAS247;FO
CAS248;FO
CAS250;FO
CAS251;FO
CAS252;FO
CAS253;FO
CAS254;FO
CAS264;FO
CAS265;FO
CAS268;FO
CAS269;FO
CAS270;FO
CAS273;FO
CAS274;FO
CAS275;FO
CAS278;FO
CAS279;FO
CAS282;FO
CAS286;FO
CAS288;FO
CAS308;FO
CAS339;FO
CAS384;FO
CAS392;FO
CAS401;FO
CAS402;FO
CAS403;FO
CAS406;FO
CAS410;FO
CAS427;FO
CAS440;FO
CAS443;FO
CAS445;FO
CAS446;FO
CAS471;FO
CAS479;FO
CAS501;FO
CAS511;FO
CAS521;FO
CAS523;FO
CAS555;FO
CAS910;FO
CAS960;FO
CAS970;FO
CHI904;FO
CHI908;FO
DAK136;FO
ELA001;FO
ERR002;FO
ESS054;FO
ESS057;FO
ESS058;FO
ESS064;FO
ESS090;FO
ESS202;FO
FE001;FO
FE002;FO
FE005;FO
FE006;FO
FE007;FO
FE015;FO
FE016;FO
FE018;FO
FE019;FO
FE021;FO
FE022;FO
FE026;FO
FE032;FO
FE045;FO
FES044;FO
FES047;FO
FES048;FO
FES064;FO
FES066;FO
FES076;FO
FES079;FO
FES081;FO
FES084;FO
FES087;FO
FES090;FO
FES091;FO
FES094;FO
FES097;FO
FES102;FO
FES103;FO
FES104;FO
FES111;FO
FES117;FO
FES118;FO
FES140;FO
FES205;FO
FES211;FO
FES214;FO
FES215;FO
FES216;FO
FES217;FO
FES226;FO
FES925;FO
FES942;FO
FES943;FO
FES947;FO
FES956;FO
FES957;FO
FES969;FO
FES977;FO
FES979;FO
FES983;FO
FES986;FO
FNI002;FO
JA001;FO
JA003;FO
JA005;FO
JA009;FO
JA010;FO
JA011;FO
JA012;FO
JA013;FO
JA014;FO
JA018;FO
JA029;FO
JA032;FO
JA149;FO
JAD061;FO
JAD070;FO
JAD080;FO
JAD083;FO
JAD250;FO
JAD251;FO
JAD302;FO
JAD303;FO
JAD307;FO
JAD311;FO
JAD319;FO
JAD368;FO
KB007;FO
KB010;FO
KB011;FO
KB012;FO
KB014;FO
KB015;FO
KB016;FO
KB019;FO
KB029;FO
KB030;FO
KB032;FO
KBG080;FO
KBG092;FO
KBG108;FO
KBG125;FO
KBG549;FO
KBG573;FO
KEN002;FO
KEN003;FO
KEN004;FO
KEN005;FO
KEN006;FO
KEN010;FO
KEN012;FO
KEN016;FO
KEN020;FO
KEN021;FO
KEN032;FO
KEN041;FO
KEN042;FO
KEN043;FO
KEN045;FO
KEN046;FO
KEN049;FO
KEN059;FO
KEN060;FO
KEN061;FO
KEN062;FO
KEN063;FO
KEN071;FO
KEN072;FO
KEN081;FO
KEN082;FO
KEN083;FO
KEN084;FO
KEN085;FO
KEN087;FO
KEN091;FO
KEN109;FO
KEN944;FO
KEN957;FO
KEN964;FO
KEN966;FO
KEN971;FO
KEN972;FO
KEN982;FO
KEN984;SHT600
KEP001;FO
KEP003;FO
KF003;FO
KF011;FO
KF042;FO
KF044;FO
KF045;FO
KF046;FO
KF047;FO
KF049;FO
KF050;FO
KF053;FO
KFR057;FO
KFR058;FO
KFR076;FO
LAA004;FO
LAR068;FO
LAR074;FO
LAR919;FO
LAR926;FO
MAD001;FO
MAR005;FO
MAR028;FO
MAR036;FO
MAR037;FO
MAR041;FO
MAR042;FO
MAR046;FO
MAR047;FO
MAR048;FO
MAR049;FO
MAR051;FO
MAR054;FO
MAR055;FO
MAR056;FO
MAR057;FO
MAR058;FO
MAR060;FO
MAR061;FO
MAR062;FO
MAR063;FO
MAR065;FO
MAR067;FO
MAR068;FO
MAR069;FO
MAR073;FO
MAR074;FO
MAR075;FO
MAR077;FO
MAR079;FO
MAR081;FO
MAR085;FO
MAR090;FO
MAR093;FO
MAR094;FO
MAR095;FO
MAR097;FO
MAR098;FO
MAR099;FO
MAR1000;FO
MAR1001;FO
MAR1002;FO
MAR1003;FO
MAR1004;FO
MAR101;FO
MAR1014;FO
MAR1015;FO
MAR1017;FO
MAR102;FO
MAR1022;FO
MAR1024;FO
MAR1025;FO
MAR1026;FO
MAR1029;FO
MAR1032;FO
MAR1033;FO
MAR1034;FO
MAR1035;FO
MAR1038;FO
MAR104;FO
MAR1043;FO
MAR1045;FO
MAR1046;FO
MAR1047;FO
MAR1049;FO
MAR1054;FO
MAR1065;FO
MAR1066;FO
MAR1068;FO
MAR1069;FO
MAR1071;FO
MAR1076;FO
MAR1082;FO
MAR1086;FO
MAR1090;FO
MAR111;FO
MAR112;FO
MAR114;FO
MAR117;FO
MAR118;FO
MAR122;FO
MAR126;FO
MAR128;FO
MAR153;FO
MAR161;FO
MAR181;FO
MAR205;FO
MAR218;FO
MAR219;FO
MAR223;FO
MAR228;FO
MAR229;FO
MAR604;FO
MAR907;FO
MAR908;FO
MAR912;FO
MAR914;FO
MAR916;FO
MAR917;FO
MAR919;FO
MAR920;FO
MAR930;FO
MAR934;FO
MAR936;FO
MAR937;FO
MAR939;FO
MAR940;FO
MAR942;FO
MAR943;FO
MAR944;FO
MAR945;FO
MAR947;FO
MAR948;FO
MAR949;FO
MAR950;FO
MAR952;FO
MAR954;FO
MAR968;FO
MAR969;FO
MAR971;FO
MAR973;FO
MAR974;FO
MAR975;FO
MAR978;FO
MAR980;FO
MAR982;FO
MAR984;FO
MAR985;FO
MAR987;FO
MAR988;FO
MAR992;FO
MAR994;FO
MAR995;FO
MAR996;FO
MAR997;FO
MAR998;FO
MAR999;FO
MCA147;FO
MCA200;FO
MCF022;FO
ME001;FO
ME007;FO
ME011;FO
ME014;FO
ME015;FO
ME017;FO
ME019;FO
ME020;FO
ME021;FO
ME022;FO
ME024;FO
ME036;FO
ME040;FO
ME042;FO
MEK045;FO
MEK061;FO
MEK064;FO
MEK065;FO
MEK068;FO
MEK075;FO
MEK077;FO
MEK079;FO
MEK080;FO
MEK082;FO
MEK084;FO
MEK087;FO
MEK091;FO
MEK096;FO
MEK098;FO
MEK099;FO
MEK101;FO
MEK110;FO
MEK144;FO
MEK145;FO
MEK200;FO
MEK204;FO
MEK208;FO
MEK213;FO
MEK338;FO
MEK340;FO
MEK341;FO
MEK355;FO
MEK367;FO
MEK373;FO
MEK374;FO
MEK375;FO
MEK378;FO
MEK379;FO
MEK389;FO
MEK400;FO
MES060;FO
MMA085;FO
MOH030;FO
MOH032;FO
MOH034;FO
MOH037;FO
MOH038;FO
MOH051;FO
MOH052;FO
MOH607;FO
MOH615;FO
MOH636;FO
MOH641;FO
MORMOL1;FO
MORMOL2;FO
MRT002;FO
MRT004;FO
NAD001;FO
NAD061;FO
NAD093;FO
NAD096;FO
NAD097;FO
NAD100;FO
NAD112;FO
NAD151;FO
NAD302;FO
NAD305;FO
NAD306;FO
NAD307;FO
NAD502;FO
NAD507;FO
NAD958;FO
NAD962;FO
NAD983;FO
NAD985;FO
NAP001;FO
NDR001;FO
OUJ002;FO
OUJ003;FO
OUJ054;FO
OUJ055;FO
OUJ056;FO
OUJ057;FO
OUJ059;FO
OUJ061;FO
OUJ071;FO
OUJ072;FO
OUJ075;FO
OUJ077;FO
OUJ078;FO
OUJ081;FO
OUJ082;FO
OUJ086;FO
OUJ087;FO
OUJ091;FO
OUJ093;FO
OUJ096;FO
OUJ097;FO
OUJ098;FO
OUJ099;FO
OUJ826;FO
OUJ829;FO
OUJ833;FO
OUJ844;FO
OUR001;FO
OUR002;FO
OUR004;FO
OUR005;FO
OUR007;FO
OUR008;FO
OUR101;FO
OUR999;FO
RA003;FO
RA004;FO
RA005;FO
RA006;FO
RA008;FO
RA010;FO
RA011;FO
RA013;FO
RA014;FO
RA015;FO
RA016;FO
RA017;FO
RA018;FO
RA022;FO
RA023;FO
RA026;FO
RA028;FO
RA030;FO
RA032;FO
RA033;FO
RA034;FO
RA036;FO
RA037;FO
RA038;FO
RA039;FO
RA040;FO
RA042;FO
RA046;FO
RA047;FO
RA048;FO
RAB054;FO
RAB058;FO
RAB061;FO
RAB062;FO
RA066;FO
RAB072;FO
RAB073;FO
RAB075;FO
RAB080;FO
RAB081;FO
RAB083;FO
RAB084;FO
RAB085;FO
RAB086;FO
RAB087;FO
RAB088;FO
RAB090;FO
RAB091;FO
RAB092;FO
RAB093;FO
RAB096;FO
RAB1000;FO
RAB1001;FO
RAB1006;FO
RAB102;FO
RAB103;FO
RAB105;FO
RAB107;FO
RAB108;FO
RAB112;FO
RAB118;FO
RAB119;FO
RAB121;FO
RAB130;FO
RAB131;FO
RAB141;FO
RAB143;FO
RAB162;FO
RAB163;FO
RAB166;FO
RAB167;FO
RAB169;FO
RAB171;FO
RAB172;FO
RAB173;FO
RAB174;FO
RAB175;FO
RAB177;FO
RAB180;FO
RAB181;FO
RAB183;FO
RAB184;FO
RAB190;FO
RAB196;FO
RAB200;FO
RAB201;FO
RAB203;FO
RAB204;FO
RAB205;FO
RAB206;FO
RAB212;FO
RAB216;FO
RAB218;FO
RAB220;FO
RAB240;FO
RAB351;FO
RAB392;FO
RAB500;FO
RAB502;FO
RAB581;FO
RAB905;FO
RAB908;FO
RAB909;FO
RAB910;FO
RAB918;FO
RAB920;FO
RAB924;FO
RAB929;FO
RAB931;FO
RAB934;FO
RAB935;FO
RAB939;FO
RAB940;FO
RAB944;FO
RAB945;FO
RAB946;FO
RAB947;FO
RAB968;FO
RAB969;FO
RAB971;FO
RAB974;FO
RAB975;RA042
RAB978;FO
RAB984;FO
RAB986;FO
RAB992;FO
RAB997;FO
RAB998;FO
RGKSK01;FO
KBG559;FO
RGSID01;FO
SA007;FO
SA009;FO
SA010;FO
SA017;FO
SA020;FO
SA022;FO
SA026;FO
SA028;FO
SAF061;FO
SAF066;FO
SAF092;FO
SAF093;FO
SAI101;FO
SE001;FO
SE004;FO
SE005;FO
SE015;FO
SE019;FO
SE028;FO
SE030;FO
SE033;FO
SE037;FO
SET056;FO
SET060;FO
SET081;FO
SET082;FO
SET091;FO
SET092;FO
SET130;FO
SET931;FO
SET946;FO
SHT600;FO
SLI001;FO
SLI002;FO
SLI005;FO
TAL001;FO
TAN001;FO
TAN004;FO
TAN012;FO
TAN013;FO
TAN015;FO
TAN020;FO
TAN021;FO
TAN023;FO
TAN027;FO
TAN036;FO
TAN040;FO
TAN045;FO
TAN049;FO
TAN050;FO
TAN051;FO
TAN052;FO
TAN055;FO
TAN056;FO
TAN057;FO
TAN060;FO
TAN061;FO
TAN063;FO
TAN064;FO
TAN073;FO
TAN077;FO
TAN080;FO
TAN083;FO
TAN084;FO
TAN085;FO
TAN087;FO
TAN090;FO
TAN092;FO
TAN094;FO
TAN098;FO
TAN108;FO
TAN110;FO
TAN118;FO
TAN124;FO
TAN151;FO
TAN152;FO
TAN154;FO
TAN184;FO
TAN200;FO
TAN451;FO
TAN601;FO
TAN800;FO
TAN904;FO
TAN905;FO
TAN906;FO
TAN921;FO
TAN935;FO
TAN939;FO
TAN943;FO
TAN946;FO
TAN956;FO
TAN971;FO
TAN984;FO
TAP100;FO
TAP111;FO
TAR001;FO
TAR002;FO
TAR006;FO
TAR007;FO
TAR008;FO
TAR009;FO
TAR968;FO
TAZ001;FO
TAZ004;FO
TAZ006;FO
TAZ092;FO
TAZ203;FO
Taza GARE;FO
TEM001;FO
TEM002;FO
TEM003;FO
TEM005;FO
TEM007;FO
TEM013;FO
TEM015;FO
TEM017;FO
TEM018;FO
TEM029;FO
TEM033;FO
TEM043;FO
TEM045;FO
TEM049;FO
TEM050;FO
TEM051;FO
TEM058;FO
TET009;FO
TET026;FO
TET028;FO
TET029;FO
TET085;FO
TET089;FO
TET090;FO
TET091;FO
TET180;FO
TET201;FO
TET202;FO
TET203;FO
TET205;FO
TET206;FO
TET207;FO
TET215;FO
TET600;FO
TET601;FO
TET602;FO
TET838;FO
TIZ002;FO
TIZ101;FO
TIZ202;FO
TIZ203;FO
TIZ204;FO
TIZ205;FO
TIZ206;FO
TIZ207;FO
TIZ217;FO
TMN002;FO
TRT001;FO
ZAI001;FO
RML014;SET044
TET850;FO
OUJ846;FO
AGA1068;FO
AGA017;FO
AGA036;FO
AGA047;FO
AGA080;FO
AGA086;FO
AGA101;FO
AGA1019;FO
AGA102;FO
AGA1029;FO
AGA1089;FO
CA068;FO
CAS087;FO
CAS1122;FO
CAS1212;FO
CAS1309;FO
CAS1319;FO
CAS1329;FO
CAS451;FO
CHI905;CHI904
FE014;FO
FE025;FO
FES046;FO
FES1015;FO
JAD069;FO
KEN208;FO
MAR001;FO
MAR030;FO
MAR071;FO
MAR1011;FO
MAR1053;FO
ME016;FO
MEK108;FO
MEK339;FO
MEK381;FO
MMA031;FO
MOH626;FO
MTA102;FO
RA029;FO
RAB168;FO
RAB191;FO
RAB210;FO
RAB919;FO
RAB932;FO
RAB960;FO
SA012;FO
TAN959;FO
TAP102;FO
TET027;FO
TET061;FO
TET063;FO
AGA100;FO
AGA120;FO
CHI906;CHI907
KEN205;FO
MAR002;FO
RA020;FO
TET011;FO
TET013;FO
AGA105;FO
AGA109;FO
MAR003;FO
MAR006;FO
MAR032;FO
MAR103;FO
AGA104;FO
AGA106;FO
AGA108;FO
IMI006;FO
CA000;FO
TAN9070;FO
CAS1479;FO
MAR1106;FO
TAN9040;FO
RAB930;FO
SET962;FO
SET963;FO
CAS475;FO
CAS1269;FO
AGA1020;FO
CAS1378;FO
CAS1168;FO
MOH625;FO
CAS1270;FO
MAR151;FO
RAB958;FO
MCA115;FO
CAS1060;FO
MAR941;FO
MAR951;FO
JAD619;FO
CA1186;FO
CAS1291;FO
FES1022;FO
NDR053;FO
TAZ894;FO
NAD959;FO
NAD979;FO
CAS1116;FO
MAR989;FO
CAS409;FO
AGA1072;FO
CAS1274;FO
MEK350;FO
CAS1411;FO
NAD981;FO
FES1002;FO
CAS1382;FO
CAS1091;FO
AGA1070;FO
SAF664;FO
MAR1105;FO
CAS1364;FO
CAS1380;FO
FES972;FO
SAF614;FO
CAS1341;FO
CAS1337;FO
CAS1134;FO
SAF657;FO
MEK357;FO
MEK386;FO
AGA1114;FO
CAS1343;FO
CAS1420;FO
TAO001;FO
CAS1482;FO
CAS1392;FO
AGA1109;FO
CAS1417;FO
MEK633;FO
CAS1365;FO
FES1027;FO
MEK356;FO
MEK353;FO
CAS1444;FO
CAS1489;FO
CHI932;FO
CAS1366;FO
CAS604;FO
CAS459;FO
AGA103;FO
CAS100;FO
CAS192;FO
CAS179;FO
CAS086;FO
CAS700;FO
AGA045;FO
AGA046;FO
AGA059;FO
RAB219;FO
AGA063;FO
CAS549;FO
LAR024;FO
TAO003;FO
MAR154;FO
NAD053;FO
NAD091;FO
CAS227;FO
MEK206;FO
CAS1410;FO
MAR092;FO
MAR224;FO
LAR360;FO
TAN700;FO
KFR108;FO
AGA004;FO
MEK112;FO
RAB211;FO
AGA130;FO
FE034;FO
CA043;FO
LCA007;FO
LCA002;FO
FE020;FO
RAB238;FO
AGA138;FO
ASI005;FO
FES225;FO
CAS174;FO
MAR601;FO
MAR606;FO
MEK074;FO
CAS474;FO
CAS302;FO
TAN703;FO
MCA013;FO
CAS284;FO
FES067;FO
JAD079;FO
TAN702;FO
CAS1107;FO
MAR182;FO
CAS1062;FO
CAS1015;FO
CAS1025;FO
AGA089;FO
CAS1036;FO
CAS277;FO
MAR145;FO
CAS1051;SE033
MEK081;FO
FES927;FO
CAS103;FO
IMI008;FO
MAG019;FO
RAB095;FO
TAN701;FO
CAS1073;FO
BE001;BE014
RA007;FO
CAS613;FO
SAF627;FO
AGA1050;FO
CAS1145;FO
CAS1074;FO
FES080;FO
AGA1053;FO
MEK366;FO
NAD071;FO
TAN937;FO
NAD984;FO
MAR1018;FO
MAR1030;FO
TAN945;FO
RAB111;FO
MEK345;FO
EKL001;FO
TAN460;FO
AZR029;FO
TAN704;FO
KSG001;FO
CAS182;FO
RAB959;FO
MAR1005;FO
AGA053;FO
KSG002;TAN704
AGA1057;FO
AGA1094;FO
LAR924;FO
FES961;FO
MAR979;FO
CAS257;FO
TAO922;FO
CAS259;FO
MAR1008;FO
KEN975;FO
CA029;FO
RAB1004;FO
RAB951;FO
CA065;FO
RAB989;FO
CAS1325;FO
MAR993;FO
KFR222;FO
CAS1139;FO
AGA1021;FO
EKL004;FO
JAD962;FO
CAS1117;FO
ESK002;FO
TAM001;FO
MAR202;FO
ASI366;FO
SGH913;FO
MAR1023;FO
KFR221;FO
CAS1292;FO
MAR1078;FO
MEK629;FO
MEK631;FO
CAS127;FO
TAN942;TAN705
SAF647;FO
FES098;FO
CAS1158;FO
RAB202;FO
RAB089;FO
RAB957;FO
TAN936;FO
TAN9030;FO
CAS1161;FO
MAR078;FO
TET842;FO
CAS267;FO
CAS266;FO
MEK634;FO
JAD353;FO
OUJ837;FO
MAR124;FO
CAS217;FO
AGA1040;FO
CAS1305;FO
CA036;FO
CAS1296;FO
AGA031;FO
MAR064;FO
MAR915;FO
MAR044;FO
MAR043;FO
MAR125;FO
MAR091;FO
CAS149;FO
CAS195;FO
CA010;FO
RAB194;FO
MAR150;FO
MAR976;FO
LAR075;FO
LAR925;FO
IMZ001;FO
MEK083;FO
TAO102;FES922
MEK067;FO
MEK063;FO
MEK069;FO
MEK097;FO
CA035;FO
CA079;FO
CAS181;FO
CAS1321;FO
FES062;FO
FE050;FO
FE003;FO
FES073;FO
CAS203;FO
FES221;FO
CAS155;FO
CA048;FO
CAS145;FO
CAS271;FO
CAS239;FO
FES224;FO
FES095;FO
FES116;FO
RAB110;FO
CAS233;FO
AGA014;FO
AGA057;FO
RAB137;FO
MAR108;FO
AGA027;FO
CHI002;FO
TNT003;FO
FES193;FO
FES228;FO
FES207;FO
CAS204;FO
CAS371;FO
CAS1245;FO
CAS118;FO
CAS287;FO
MAR115;FO
MAR059;FO
MAR086;FO
MAR105;FO
MAR1019;FO
FES112;FO
MEK202;ME040
OUJ842;FO
FES085;FO
FES069;FO
MEK211;FO
ESK001;FO
ESK101;FO
ESK003;FO
SGH915;FO
RAB350;FO
KEN973;FO
CAS136;FO
TAN708;TAN760
TET605;FO
TAN709;FO
FES051;FO
MAR082;MAR055
TET604;FO
RAB057;FO
KEN102;FO
KEN033;FO
RA009;FO
CAS191;FO
CAS131;FO
RAB164;FO
RAB925;FO
CAS311;FO
FES043;FO
TAO105;FO
RA045;FO
OUJ010;FO
OUJ070;FO
CAS263;FO
FES092;FO
FES086;FO
RAB936;FO
FES201;FO
CA041;FO
MEK095;FO
NAD054;FO
NAD961;FO
NAD062;FO
CAS1140;FO
FES068;FO
FES065;FO
MEK207;FO
CAS1326;FO
CAS115;FO
CAS205;FO
CAS125;FO
CA069;FO
CAS243;FO
CAS431;FO
CA014;FO
LAA122;FO
BOJ002;FO
SMA013;FO
SMA004;FO
DAK120;FO
CAS105;FO
SDI004;FO
MAR233;FO
TET055;TET060
TET834;FO
SET055;FO
MAR222;FO
MAR1072;FO
TAR979;FO
NAD205;FO
MEK368;FO
ESK100;FO
GUE002;FO
MAR235;FO
RAB170;FO
CAS1272;FO
CAS1058;FO
CAS238;FO
CAS1264;FO
CAS188;FO
CAS1373;FO
CAS1093;FO
CAS168;FO
MEK393;FO
CAS165;FO
CAS228;FO
CAS435;FO
CAS1184;FO
CAS307;FO
CA074;FO
CAS113;FO
MEK116;FO
MEK209;FO
CAS319;FO
CAS246;FO
CAS1275;FO
CAS094;FO
CAS476;FO
CAS166;FO
CAS1233;FO
CAS434;FO
CAS432;FO
CAS178;FO
SAF060;FO
AGA021;FO
AGA1037;FO
CAS1234;FO
FES952;FO
NAD953;FO
RAB999;FO
RAB906;FO
CAS1131;FO
CAS1422;FO
AGA1084;FO
CAS1244;FO
CAS1407;FO
CAS1440;FO
SET911;FO
CAS1401;FO
KEN1010;FO
CAS1477;FO
KEN1000;FO
KEN1014;FO
CAS1381;FO
FES966;FO
CAS1127;FO
CAS1310;CAS108
CAS1483;FO
CAS1434;FO
CAS1268;FO
CAS1338;FO
CAS1413;FO
CAS1421;FO
CAS1504;FO
CAS1297;FO
FES989;FO
FES935;FO
CAS1462;FO
MEK382;FO
MEK662;FO
CAS1226;FO
CAS1081;FO
CAS1118;FO
CAS1034;FO
CAS1372;FO
CAS1494;FO
CAS1495;FO
CAS1497;FO
MEK390;FO
CA015;FO
CA039;FO
MAR066;FO
RA027;FO
AGA107;FO
KBG663;FO
CAS1480;FO
CAS1571;FO
FES954;FO
CAS1328;FO
SAF676;FO
CAS1657;FO
CAS1155;FO
KBG564;FO
BNG005;SE015
MAR909;MAR020
AGA1090;FO
OUR1006;OUR001
OUR1008;OUR001
OUK004;MAR022
ZAG030;ZAG002
JAD654;JA014
JAD651;JA012
HAK001;MEK204
JAD692;JA012
JAD665;JA012
JAD662;JA014
CAS1162;CA059
CAS1361;FO
TIG006;TIG001
BNG007;SE015
MAR1044;FO
JAD650;JA032
CAS1387;SE005
MRT018;MRT004
TAN9050;TAN023
SMA005;SMA004
BIO009;FO
KBG554;KBG559
CHT988;TIZ201
TAN9051;TAN023
CAS1315;FO
OUR201;OUR004
SET042;SE019
TAN982;TAN802
TAN9023;TAN705
SDI007;SDI002
MOH620;BEN031
SET993;SE005
JAD984;JA020
KBG563;KB029
SET997;SE009
CAS1340;CAS139
SET994;SE005
CAS1388;CA059
SAF608;SA010
SAF624;SA008
SAF639;SA013
KBG552;KB018
FES970;FO
GUE885;GUE878
MAR1073;MAR202
RAB952;RA033
KBG628;KB013
OUR1004;OUR004
MDL003;FO
SID938;RGSID01
MOH653;BE016
MDL029;BOU757
BEN926;BE021
AGA1062;ANZ001
AGA1063;AGA1052
TAN9069;FO
SET954;SE001
SAF659;SA007
AGA1105;FO
MEK391;FO
TAN9024;TAN705
SEF931;TAZ114
JAD653;JA012
OEH001;GRF922
JAD1008;JA029
TIZ201;TIZ207
CCH940;CCH002
CCH937;CCH002
TAN9022;FO
CAS1132;SE033
ANZ003;ANZ001
AGA1025;FO
AGA1033;AGA030
ALH911;ALH061
BAT001;CCH300
IMZ091;IMZ001
AGA1083;AGA003
ALH914;ALH061
CAS1333;CA002
TAZ202;TAZ203
TAZ201;TAZ200
TAN965;FO
CAS1432;CA077
MAR1098;JA068
MAR1099;JA068
SET921;SET056
MHA006;ZAG002
MHA005;MHA006
OUR107;MGO001
OUR113;TIE001
OUR112;OUR113
MOH614;BE016
AGA1065;ANZ001
ERR853;ERR007
JAD660;JA014
KFR678;KF003
KBG570;KBG559
SAF661;SAF141
CCH902;CCH901
FES1018;FE008
SET977;SET042
AGA1101;FO
AGA1098;AGA040
TIG005;TIG001
BEN925;BE020
ALH909;ALH061
KFR208;KF012
MEK383;KF015
FES1033;FE036
FES1023;FO
CAS1279;FO
CAS1367;SE030
KBG652;KB018
IMI014;IMI001
AGA1102;AGA040
AGA1103;FO
OUJ852;OUJ077
OUJ843;OUJ003
OUJ856;OUJ056
TAN9047;TAN023
SAF651;SAF067
MEK644;FO
CAS1185;JA142
TEM061;BE012
MEK397;FO
SLI054;SLI002
SLI055;SLI002
CAS1395;SE033
NAD963;NAD100
LAA011;LAA004
SAF628;SAF048
SAF660;SA008
MOH656;BE013
TAN9021;TAN061
AZR001;FO
AZR002;FO
